transaction_date,stock_date,product_id,customer_id,store_id,quantity
1/1/1998,12/25/1997,4,2439,10,3
1/1/1998,12/28/1997,11,4284,10,3
1/1/1998,12/28/1997,12,534,10,3
1/1/1998,12/29/1997,14,9743,10,2
1/1/1998,12/27/1997,16,3608,10,3
1/1/1998,12/27/1997,23,1550,10,3
1/1/1998,12/28/1997,46,1425,10,3
1/1/1998,12/29/1997,50,1325,10,4
1/1/1998,12/30/1997,56,3761,10,4
1/1/1998,12/31/1997,59,1013,10,3
1/1/1998,12/26/1997,61,1325,10,5
1/1/1998,12/26/1997,61,1641,10,3
1/1/1998,12/31/1997,75,5981,10,2
1/1/1998,12/26/1997,89,3608,10,3
1/1/1998,12/31/1997,90,8534,10,2
1/1/1998,12/29/1997,112,1425,10,4
1/1/1998,12/26/1997,115,1013,10,2
1/1/1998,12/30/1997,119,1013,10,3
1/1/1998,12/31/1997,120,9743,10,2
1/1/1998,12/31/1997,126,7279,10,3
1/1/1998,12/26/1997,127,1325,10,5
1/1/1998,12/28/1997,130,9634,10,2
1/1/1998,12/26/1997,139,6812,10,2
1/1/1998,12/28/1997,159,1425,10,2
1/1/1998,12/25/1997,163,7279,10,4
1/1/1998,12/26/1997,165,5981,10,4
1/1/1998,12/30/1997,166,534,10,2
1/1/1998,12/25/1997,180,5223,10,3
1/1/1998,12/29/1997,182,5605,10,4
1/1/1998,12/29/1997,201,5318,10,3
1/1/1998,12/28/1997,204,9743,10,4
1/1/1998,12/25/1997,212,534,10,4
1/1/1998,12/29/1997,225,1013,10,4
1/1/1998,12/27/1997,228,8534,10,4
1/1/1998,12/25/1997,231,5981,10,2
1/1/1998,12/28/1997,236,7279,10,3
1/1/1998,12/25/1997,240,9634,10,3
1/1/1998,12/25/1997,246,1425,10,2
1/1/1998,12/25/1997,246,5223,10,2
1/1/1998,12/28/1997,248,9316,10,3
1/1/1998,12/27/1997,249,8228,10,4
1/1/1998,12/27/1997,249,1425,10,3
1/1/1998,12/26/1997,252,9191,10,3
1/1/1998,12/30/1997,267,1325,10,4
1/1/1998,12/29/1997,308,1013,10,4
1/1/1998,12/26/1997,320,2439,10,2
1/1/1998,12/27/1997,322,534,10,3
1/1/1998,12/29/1997,323,9634,10,3
1/1/1998,12/30/1997,328,5318,10,2
1/1/1998,12/29/1997,330,9191,10,3
1/1/1998,12/30/1997,332,3608,10,4
1/1/1998,12/29/1997,342,2229,10,3
1/1/1998,12/26/1997,365,9316,10,2
1/1/1998,12/25/1997,371,6159,10,4
1/1/1998,12/25/1997,371,9191,10,2
1/1/1998,12/31/1997,375,7376,10,2
1/1/1998,12/30/1997,377,4284,10,5
1/1/1998,12/29/1997,386,4235,10,4
1/1/1998,12/30/1997,391,2439,10,2
1/1/1998,12/31/1997,392,4235,10,3
1/1/1998,12/25/1997,402,3761,10,3
1/1/1998,12/26/1997,403,2229,10,3
1/1/1998,12/25/1997,404,7158,10,4
1/1/1998,12/26/1997,405,534,10,3
1/1/1998,12/26/1997,416,1325,10,4
1/1/1998,12/26/1997,424,9743,10,3
1/1/1998,12/27/1997,432,3761,10,4
1/1/1998,12/28/1997,434,5318,10,3
1/1/1998,12/25/1997,436,9316,10,2
1/1/1998,12/28/1997,438,5318,10,4
1/1/1998,12/29/1997,443,4284,10,2
1/1/1998,12/27/1997,445,5053,10,4
1/1/1998,12/25/1997,449,9037,10,4
1/1/1998,12/30/1997,455,9037,10,4
1/1/1998,12/26/1997,461,8534,10,3
1/1/1998,12/30/1997,465,7158,10,4
1/1/1998,12/31/1997,491,2481,10,3
1/1/1998,12/26/1997,502,3761,10,3
1/1/1998,12/30/1997,509,2229,10,4
1/1/1998,12/29/1997,521,9191,10,3
1/1/1998,12/30/1997,556,4284,10,2
1/1/1998,12/26/1997,561,1425,10,2
1/1/1998,12/28/1997,571,7158,10,4
1/1/1998,12/29/1997,575,4235,10,2
1/1/1998,12/31/1997,576,1325,10,3
1/1/1998,12/25/1997,581,7158,10,3
1/1/1998,12/30/1997,582,6812,10,3
1/1/1998,12/26/1997,592,2229,10,3
1/1/1998,12/27/1997,594,6159,10,4
1/1/1998,12/29/1997,596,4235,10,3
1/1/1998,12/31/1997,598,9316,10,2
1/1/1998,12/28/1997,599,5605,10,2
1/1/1998,12/30/1997,612,7376,10,3
1/1/1998,12/30/1997,645,7376,10,3
1/1/1998,12/27/1997,652,4235,10,4
1/1/1998,12/27/1997,662,7376,10,3
1/1/1998,12/25/1997,665,1425,10,3
1/1/1998,12/26/1997,682,8228,10,4
1/1/1998,12/25/1997,683,8534,10,4
1/1/1998,12/29/1997,693,8534,10,3
1/1/1998,12/29/1997,703,9743,10,3
1/1/1998,12/28/1997,735,8228,10,2
1/1/1998,12/27/1997,758,5981,10,4
1/1/1998,12/28/1997,761,7376,10,2
1/1/1998,12/25/1997,773,9191,10,4
1/1/1998,12/31/1997,778,9191,10,3
1/1/1998,12/29/1997,802,9316,10,2
1/1/1998,12/25/1997,803,2481,10,3
1/1/1998,12/26/1997,807,1013,10,3
1/1/1998,12/29/1997,811,6812,10,2
1/1/1998,12/30/1997,814,7158,10,4
1/1/1998,12/25/1997,838,5605,10,3
1/1/1998,12/31/1997,852,4235,10,4
1/1/1998,12/30/1997,855,6812,10,3
1/1/1998,12/29/1997,863,2439,10,4
1/1/1998,12/25/1997,868,9316,10,3
1/1/1998,12/25/1997,873,9743,10,4
1/1/1998,12/26/1997,877,2862,10,3
1/1/1998,12/28/1997,882,3608,10,3
1/1/1998,12/26/1997,892,8228,10,3
1/1/1998,12/27/1997,895,4235,10,4
1/1/1998,12/25/1997,898,8228,10,3
1/1/1998,12/25/1997,906,5223,10,3
1/1/1998,12/27/1997,909,8166,10,2
1/1/1998,12/30/1997,910,7158,10,4
1/1/1998,12/31/1997,921,534,10,2
1/1/1998,12/25/1997,932,8166,10,3
1/1/1998,12/31/1997,936,9743,10,3
1/1/1998,12/25/1997,941,4235,10,3
1/1/1998,12/26/1997,945,4235,10,3
1/1/1998,12/29/1997,965,3608,10,4
1/1/1998,12/29/1997,984,7376,10,3
1/1/1998,12/30/1997,1000,8534,10,3
1/1/1998,12/27/1997,1006,2439,10,4
1/1/1998,12/27/1997,1028,5223,10,2
1/1/1998,12/30/1997,1029,9191,10,2
1/1/1998,12/26/1997,1035,5223,10,3
1/1/1998,12/30/1997,1039,3761,10,4
1/1/1998,12/27/1997,1045,4235,10,2
1/1/1998,12/25/1997,1046,9191,10,4
1/1/1998,12/27/1997,1052,7279,10,3
1/1/1998,12/26/1997,1056,2481,10,4
1/1/1998,12/27/1997,1058,5605,10,2
1/1/1998,12/25/1997,1063,1550,10,4
1/1/1998,12/28/1997,1070,8534,10,2
1/1/1998,12/30/1997,1071,3608,10,3
1/1/1998,12/28/1997,1078,9316,10,3
1/1/1998,12/27/1997,1081,2862,10,3
1/1/1998,12/28/1997,1085,9316,10,4
1/1/1998,12/25/1997,1086,8534,10,3
1/1/1998,12/29/1997,1091,2229,10,4
1/1/1998,12/29/1997,1107,9316,10,3
1/1/1998,12/30/1997,1148,5605,10,3
1/1/1998,12/29/1997,1162,1425,10,3
1/1/1998,12/28/1997,1170,5318,10,3
